(157 76 69 1 0)
(157 82 73 1 0)
(158 70 66 1 0)
(158 76 69 1 0)
(158 82 73 1 0)
(159 41 49 1/2 1)
(159 70 66 1/2 0)
(159 77 70 1/2 0)
(159 82 73 1/2 0)
(639/4 59 59 1/4 1)
(639/4 70 66 1/4 0)
(639/4 77 70 1/4 0)
(639/4 82 73 1/4 0)
(160 60 60 3/4 1)
(160 70 66 1 0)
(160 77 70 1 0)
(160 82 73 1 0)
(643/4 62 61 1/4 1)
(161 60 60 1 1)
(161 69 65 1 0)
(161 77 70 1 0)
(161 81 72 1 0)
(162 48 53 1/2 1)
(162 70 66 1/2 0)
(162 76 69 1/2 0)
(162 81 72 1/2 0)
(651/4 59 59 1/4 1)
(651/4 70 66 1/4 0)
(651/4 76 69 1/4 0)
(651/4 81 72 1/4 0)
(163 60 60 3/4 1)
(163 70 66 1 0)
(163 76 69 1 0)
(163 81 72 1 0)
(655/4 62 61 1/4 1)
(164 60 60 1 1)
(164 70 66 1 0)
(164 76 69 1 0)
(164 79 71 1 0)
(165 53 56 1/2 1)
(165 69 65 1/2 0)
(165 75 69 1/2 0)
(165 79 71 1/2 0)
(663/4 59 59 1/4 1)
(663/4 69 65 1/4 0)
(663/4 75 69 1/4 0)
(663/4 79 71 1/4 0)
(166 60 60 3/4 1)
(166 69 65 1 0)
(166 75 69 1 0)
(166 79 71 1 0)
(667/4 64 62 1/4 1)
(167 65 63 1 1)
(167 69 65 1 0)
(167 75 69 1 0)
(167 77 70 1 0)
(168 46 52 1 1)
(168 74 68 3/4 0)
(675/4 74 68 1/4 0)
(169 53 56 1 1)
(169 58 59 1 1)
(169 62 61 1 1)
(169 65 63 1 0)
(169 70 66 1 0)
(169 75 69 1 0)
(170 53 56 1 1)
(170 58 59 1 1)
(170 62 61 1 1)
(170 65 63 1 0)
(170 70 66 1 0)
(170 76 69 1 0)
(171 45 51 1 1)
(171 78 71 3/4 0)
(687/4 77 70 1/4 0)
(172 53 56 1 1)
(172 60 60 1 1)
(172 63 62 1 1)
(172 65 63 3/4 0)
(172 72 67 1 0)
(691/4 66 64 1/4 0)
(173 53 56 1 1)
(173 60 60 1 1)
(173 63 62 1 1)
(173 65 63 1 0)
(173 72 67 1 0)
(174 46 52 1 1)
(174 73 68 3/4 0)
(699/4 73 68 1/4 0)
(175 53 56 1 1)
(175 58 59 1 1)
(175 61 61 1 1)
(175 65 63 1 0)
(175 70 66 1 0)
(175 75 69 1 0)
(176 53 56 1 1)
(176 58 59 1 1)
(176 61 61 1 1)
(176 65 63 1 0)
(176 70 66 1 0)
(176 76 69 1 0)
(177 44 51 1 1)
(177 78 71 3/4 0)
(711/4 77 70 1/4 0)
(178 53 56 3/4 1)
(178 56 58 3/4 1)
(178 61 61 3/4 1)
(178 65 63 3/4 1)
(178 68 65 1 0)
(178 73 68 1 0)
(178 80 72 1 0)
(715/4 46 52 1/4 1)
(179 44 51 1 1)
(179 73 68 1 0)
(179 85 75 1 0)
(180 32 44 1 1)
(180 66 64 1/2 0)
(180 72 67 1/2 0)
(180 78 71 1/2 0)
(723/4 66 64 1/4 0)
(723/4 72 67 1/4 0)
(723/4 78 71 1/4 0)
(181 56 58 1 1)
(181 63 62 1 1)
(181 66 64 1 0)
(181 72 67 1 0)
(181 78 71 1 0)
(182 66 64 1 0)
(182 72 67 1 0)
(182 78 71 1 0)
(183 37 47 1/2 1)
(183 66 64 1/2 0)
(183 73 68 1/2 0)
(183 78 71 1/2 0)
(735/4 55 57 1/4 1)
(735/4 66 64 1/4 0)
(735/4 73 68 1/4 0)
(735/4 78 71 1/4 0)
(184 56 58 3/4 1)
(184 66 64 1 0)
(184 73 68 1 0)
(184 78 71 1 0)
(739/4 58 59 1/4 1)
(185 56 58 1 1)
(185 65 63 1 0)
(185 73 68 1 0)
(185 77 70 1 0)
(186 44 51 1/2 1)
(186 66 64 1/2 0)
(186 72 67 1/2 0)
(186 77 70 1/2 0)
(747/4 55 57 1/4 1)
(747/4 66 64 1/4 0)
(747/4 72 67 1/4 0)
(747/4 77 70 1/4 0)
(187 56 58 3/4 1)
(187 66 64 1 0)
(187 72 67 1 0)
(187 77 70 1 0)
(751/4 57 59 1/4 1)
(188 56 58 1 1)
(188 66 64 1 0)
(188 72 67 1 0)
(188 75 69 1 0)
(189 49 54 1/2 1)
(189 66 64 1/2 0)
(189 75 69 1/2 0)
(759/4 55 57 1/4 1)
(759/4 66 64 1/4 0)
(759/4 68 65 1/4 0)
(759/4 75 69 1/4 0)
(190 56 58 3/4 1)
(190 66 64 1 0)
(190 68 65 2 0)
(190 75 69 1 0)
(763/4 60 60 1/4 1)
(191 61 61 1 1)
(191 65 63 1 0)
(191 73 68 1 0)
(192 41 48 1 1)
(192 68 64 1/3 0)
(192 74 68 1/3 0)
(577/3 62 61 1/3 0)
(578/3 68 64 7/3 0)
(578/3 74 68 4/3 0)
(193 53 55 1 1)
(193 59 59 1 1)
(193 62 61 1 0)
(194 53 55 1 1)
(194 59 59 1 1)
(194 62 61 1 0)
(194 74 68 1 0)
(195 42 49 1 1)
(195 69 65 1/3 0)
(195 74 68 1/3 0)
(586/3 62 61 1/3 0)
(587/3 69 65 7/3 0)
(587/3 74 68 11/6 0)
(196 54 56 1 1)
(196 57 58 1 1)
(196 62 61 3/2 0)
(197 54 56 1 1)
(197 57 58 1 1)
(395/2 61 60 1/2 0)
(395/2 73 67 1/2 0)
(198 41 48 1 1)
(198 68 64 1/3 0)
(198 74 68 1/3 0)
(595/3 62 61 1/3 0)
(596/3 68 64 7/3 0)
(596/3 74 68 4/3 0)
(199 53 55 1 1)
(199 59 59 1 1)
(199 62 61 1 0)
